诺基亚700（Zeta）;20
中兴 nubia Z7 Max/NX505J;710
HTC One max（8160/单卡/联通TD-LTE版）;450
华为 C8500S;5
索爱 M1i;5
华为 C8500;5
HTC G1;5
联想乐檬K3（K30-W/联通4G）;160
OPPO A115;5
摩托罗拉 Nexus 6;1730
索爱 W810c;5
HTC G20（Rhyme倾心）;30
诺基亚 C6-00;5
华为 U8800;10
三星 GALAXY A3000;730
华为Honor 荣耀（U8860）;5
诺基亚 N76;5
酷派 8816;5
OPPO U525;5
诺基亚 6720c;5
联想 P70;5
步步高 i606;5
华为Ascend G6 手机;350
诺基亚 6120c;5
索尼 Xperia Z1 Compact Z1mini;490
华为 荣耀6 Plus  移动4G;1200
华为  荣耀6 Plus 联通4G;1150
OPPO R5（R8107/移动4G）;1100
黑莓 9900;50
诺基亚 2630;5
LG P990（Star）;20
OPPO R1C（R8207/移动4G）;950
三星 I9023（Nexus S）;10
黑莓 9810（Torch2）;50
OPPOA203;5
OPPO U529;5
三星 B7732U;120
三星 D908 D900;5
诺基亚 6020;5
三星 W629;5
金立天鉴W900（双4G）;730
诺基亚 3600s;5
华为P8（GRA-UL10/高配版/双4G）;2370
HTC G8 Wildfire;5
联想 P629;5
LG GS290;5
华为 C199 电信4G;590
三星 GALAXY A5（A5000/双4G）;1020
小米盒子 2代;120
三星GALAXY E7（E7009/电信4G）;1100
步步高 i518;5
HTC Desire HTC D616w;380
联想 A750;5
诺基亚 N95;5
诺基亚 X6;5
摩托罗拉 me811;5
大神X7（8690/双4G）;730
HTC A310e（达人）;5
华为（HUAWEI）荣耀X2 移动/联通双网通;950
步步高 i389;5
诺基亚 N72;5
诺基亚 C5-00;5
OPPO T15;5
诺基亚 5250;5
HTC G22（Amaze4G）;40
中兴 U720;5
诺基亚 5320XM;5
OPPO R3（R7007/移动4G）;450
步步高 Y27;300
华为 G521;40
大神X7（8691-00/高配版/全网通）;1050
OPPO 1107（移动4G）;200
华为 C5720;5
联想 i350;5
步步高 X520L;950
华为P8 GRA-UL00/标配版/双4G;1980
华为P8 GRA-CL10/高配版/电信4G;2320
步步高 vivo Y18L 移动版;260
联想 i300;5
三星 S5570;5
三星 I8530（Galaxy Beam）;10
三星 G5308W;450
三星 9168i;190
LG KF750;5
华为 C8800;5
三星 I777;5
OPPO R6007 移动4G;300
华为P8 GRA-CL00/标配版/电信4G;1930
OPPO A103;5
三星 S8600;5
诺基亚 N9（64GB）;50
诺基亚 Lumia 640xl;570
大神X7（8690-T00/移动4G）;780
三星 T211（3G版）;130
三星 S7278 移动版;30
步步高 K202;5
LG BL20;5
LG KS660;5
三星GALAXY A3（A3009/电信4G）;840
步步高 vivo Y13w/Y613 联通版;50
联想笋尖S90（S90-u/2GB RAM/联通4G）;350
步步高 i536;5
OPPO R807;70
步步高S7it;110
三星 I9100 韩版（M250s）;70
三星 T311;450
摩托罗拉锋丽（XT685/联通版）;30
摩托罗拉 L71;5
三星GALAXY K Zoom（C1158/移动4G）;590
步步高 Y22L;260
联想 S850T;70
联想i1000;2000
小米4 M4 2GRAM　移动版/联通版;730
诺基亚 6300;5
摩托罗拉XT883（里程碑3）;70
HTC HD2 T8585;10
诺基亚 E52;20
联想 A228T;30
海信 E 601;20
联想 A288T;5
三星 G3586V 联通4G;210
OPPO R821T;70
中兴星星1号（移动4G/16GB ROM）;300
三星 I9000 韩版（M110s）;70
三星 S7898i;30
三星 I909;70
联想 S860;110
